Year,Reporting_week,a0-4,a5-15,a15-64,a65,Unknown,Total
2014,1,13,3,23,57,1,97
2014,2,18,,36,122,1,177
2014,3,21,5,31,153,,210
2014,4,21,6,37,129,1,194
2014,5,25,6,47,139,,217
2014,6,26,3,41,74,,144
2014,7,21,2,35,93,1,152
2014,8,25,4,31,88,,148
2014,9,24,7,22,91,,144
2014,10,30,7,31,65,1,134
2014,11,30,3,20,56,1,110
2014,12,28,4,29,71,,132
2014,13,29,6,27,88,3,153
2014,14,33,4,26,91,1,155
2014,15,24,4,23,45,1,97
2014,16,15,2,15,49,,81
2014,17,22,2,22,64,,110
2014,18,23,3,22,31,,79
2014,19,21,3,22,28,,74
2014,20,22,1,6,17,5,51
2014,21,18,2,5,28,,53
2014,22,15,2,12,18,,47
2014,23,9,1,9,19,,38
2014,24,15,2,4,13,1,35
2014,25,17,,9,20,,46
2014,26,17,5,20,24,,66
2014,27,21,,14,16,,51
2014,28,27,6,17,11,,61
2014,29,22,5,10,14,,51
2014,30,21,1,13,12,,47
2014,31,19,3,17,13,1,53
2014,32,21,3,20,17,,61
2014,33,17,4,17,9,,47
2014,34,23,2,8,16,,49
2014,35,23,4,26,35,,88
2014,36,31,2,27,52,1,113
2014,37,21,2,10,34,,67
2014,38,17,3,13,33,,66
2014,39,19,4,11,24,,58
2014,40,17,4,15,35,1,72
2014,41,31,4,26,23,,84
2014,42,26,,15,32,,73
2014,43,37,2,14,51,,104
2014,44,32,2,25,40,1,100
2014,45,32,3,33,60,,128
2014,46,21,2,22,48,1,94
2014,47,24,6,14,44,,88
2014,48,16,1,22,82,10,131
2014,49,24,3,33,116,1,177
2014,50,35,1,34,187,2,259
2014,51,19,2,33,148,2,204
2014,52,17,1,23,76,,117
2015,1,18,2,21,119,1,161
2015,2,28,1,33,103,2,167
2015,3,36,2,27,109,,174
2015,4,30,4,33,164,,231
2015,5,26,3,33,169,,231
2015,6,27,2,36,171,,236
2015,7,34,5,47,199,,285
2015,8,31,9,53,226,1,320
2015,9,19,6,52,219,1,297
2015,10,33,9,47,188,8,285
2015,11,23,3,52,183,,261
2015,12,40,6,48,203,,297
2015,13,36,5,46,193,,280
2015,14,29,6,36,182,1,254
2015,15,17,3,44,172,,236
2015,16,16,4,37,166,,223
2015,17,22,7,32,162,,223
2015,18,22,9,46,131,,208
2015,19,23,2,35,89,,149
2015,20,15,4,28,88,,135
2015,21,17,4,31,52,,104
2015,22,14,2,17,51,,84
2015,23,17,5,14,46,3,85
2015,24,15,4,14,44,1,78
2015,25,16,9,15,24,,64
2015,26,11,1,14,39,2,67
2015,27,8,1,23,12,,44
2015,28,9,,17,11,,37
2015,29,17,,8,8,,33
2015,30,12,4,17,15,,48
2015,31,7,3,14,15,,39
2015,32,7,1,14,8,,30
2015,33,5,4,11,18,,38
2015,34,16,3,5,22,,46
2015,35,10,2,7,19,,38
2015,36,5,4,19,10,,38
2015,37,14,5,8,8,,35
2015,38,9,2,12,13,,36
2015,39,8,5,13,16,,42
2015,40,14,3,9,12,,38
2015,41,26,5,11,27,,69
2015,42,19,3,17,28,,67
2015,43,10,3,19,60,,92
2015,44,16,3,21,50,,90
2015,45,19,3,21,71,,114
2015,46,19,3,19,43,,84
